,acchr,dayofweek,accmon,accday,num
1808,13,7,10,29,1
1809,8,5,3,24,1
1815,8,6,3,4,1
1816,19,2,5,30,1
1817,11,4,3,9,1
1818,19,6,6,10,1
1819,18,7,7,30,1
1820,13,4,8,17,1
1821,11,7,11,19,1
1822,17,5,12,1,1
1823,13,4,12,7,1
1824,8,4,3,30,1
1826,13,3,7,5,1
1827,17,5,11,24,1
1830,21,2,8,1,1
1831,8,4,1,19,1
1832,17,2,3,21,1
1833,13,1,5,1,1
1834,21,2,7,4,1
1835,19,6,7,1,1
1838,20,1,7,10,1
1840,0,1,2,27,1
1841,17,5,8,18,1
1842,7,7,10,1,1
1843,14,3,10,11,1
1844,13,2,3,21,1
1846,22,5,7,21,1
1847,17,2,6,13,1
1848,20,4,10,5,1
1849,20,7,10,15,1
1850,23,3,12,20,1
1851,10,5,12,15,1
1852,18,4,7,6,1
1856,3,7,9,17,1
1857,9,7,6,25,1
1858,16,1,5,15,1
1859,16,4,8,3,1
1860,20,1,9,4,1
1861,8,4,9,28,1
1862,12,7,10,22,1
1863,12,6,11,11,1
1864,18,4,11,9,1
1865,22,6,3,11,1
1866,19,6,2,11,1
1869,20,7,3,5,1
1870,21,5,8,11,1
1872,14,1,2,20,1
1874,12,7,10,15,1
1876,1,7,9,3,1
1877,18,3,10,18,1
1879,12,5,9,8,1
1880,16,5,6,16,1
1881,16,2,5,30,1
1883,15,4,5,11,1
1889,8,6,3,4,1
1891,15,5,4,14,1
1894,15,6,12,16,1
1895,7,4,2,16,1
1896,16,2,5,9,1
1897,19,3,6,28,1
1898,6,1,8,7,1
1899,8,1,11,6,1
1900,7,2,11,28,1
1901,9,7,12,10,1
1904,17,4,6,22,1
1905,11,3,6,28,1
1907,17,1,7,31,1
1908,23,2,8,8,1
1909,20,7,11,26,1
1910,19,1,8,28,1
1911,13,2,8,15,1
1914,22,7,5,14,1
1915,17,2,5,9,1
1916,20,2,7,18,1
1918,18,1,9,4,1
1919,15,3,5,10,1
1920,16,4,8,17,1
1921,17,5,11,17,1
1923,16,4,1,5,1
1924,17,3,6,7,1
1925,11,7,10,29,1
1926,16,5,12,1,1
1927,13,7,12,31,1
1929,10,6,7,8,1
1931,12,4,6,15,1
1932,21,1,8,21,1
1933,6,6,9,23,1
1934,7,4,7,20,1
1935,12,1,12,25,1
1936,22,5,1,27,1
1938,1,2,12,26,1
1945,5,6,3,25,1
1947,20,4,4,6,1
1964,11,1,2,20,1
1969,18,2,5,30,1
1971,9,3,7,12,1
1972,16,5,7,28,1
1980,18,4,10,5,1
1988,6,6,3,25,1
1989,12,5,5,5,1
1990,7,2,5,9,1
1991,14,6,5,20,1
1995,5,4,7,6,1
1997,16,5,9,1,1
1998,3,6,9,16,1
1999,15,1,10,9,1
2000,14,7,10,22,1
2003,2,2,1,3,1
2007,19,1,2,6,1
2008,7,5,2,10,1
2010,15,6,2,25,1
2011,14,1,3,27,1
2013,9,7,3,12,1
2014,2,3,4,12,1
2015,2,6,4,22,1
2016,22,7,4,16,1
2017,2,7,3,26,1
2018,4,1,1,9,1
2019,0,7,4,2,1
2020,15,2,5,16,1
2021,8,4,2,9,1
2022,14,4,5,18,1
2023,22,5,5,26,1
2027,21,1,6,26,1
2028,18,1,4,10,1
2031,17,3,7,19,1
2032,6,3,8,2,1
2034,11,4,8,10,1
2035,10,3,8,16,1
2037,19,5,6,23,1
2038,1,2,2,14,1
2042,14,3,8,30,1
2043,4,2,6,27,1
2047,21,3,10,18,1
2048,21,6,10,7,1
2051,2,7,9,24,1
2053,8,4,10,5,1
2054,0,7,10,15,1
2055,21,1,10,2,1
2056,18,3,11,15,1
2057,18,4,11,23,1
2058,1,1,9,18,1
2064,18,4,11,9,1
2065,8,5,7,28,1
2066,20,5,12,29,1
2078,0,7,1,8,1
2079,14,7,8,13,1
2081,9,5,12,15,1
2082,18,4,6,8,1
2089,23,6,4,1,1
2094,20,5,8,11,1
2097,13,1,9,11,1
2099,6,4,10,5,1
2100,21,2,6,20,1
2101,22,2,10,3,1
2102,19,7,10,22,1
2103,19,2,10,24,1
2105,20,4,10,12,1
2110,21,7,11,26,1
2116,19,6,1,14,1
2117,16,6,2,11,1
2118,15,2,2,14,1
2119,0,3,2,8,1
2120,16,4,3,2,1
2121,7,4,3,30,1
2124,15,7,4,9,1
2127,0,1,5,1,1
2132,15,4,9,21,1
2136,12,5,6,23,1
2138,14,3,9,20,1
2141,0,6,10,28,1
2142,12,7,12,24,1
2146,18,1,3,20,1
2148,18,4,3,23,1
2149,3,6,4,22,1
2150,22,6,5,6,1
2151,20,2,5,16,1
2152,16,5,5,26,1
2153,2,5,6,2,1
2156,16,3,6,14,1
2158,17,5,6,16,1
2159,0,3,6,21,1
2161,13,7,7,9,1
2162,19,6,7,22,1
2163,23,1,5,8,1
2165,13,7,7,9,1
2166,7,6,8,19,1
2168,22,3,8,9,1
2171,8,2,12,19,1
2177,0,7,3,5,1
2178,20,6,3,11,1
2208,19,5,1,13,1
2209,15,1,2,6,1
2211,15,7,2,26,1
2215,13,4,7,6,1
2216,14,1,7,31,1
2217,4,6,8,5,1
2223,21,3,2,8,1
2224,21,7,4,2,1
2225,11,3,4,5,1
2231,0,5,6,2,1
2240,21,5,2,10,1
2241,15,4,2,9,1
2242,12,5,6,9,1
2245,22,4,9,28,1
2246,19,3,10,18,1
2248,1,7,10,1,1
2250,18,4,2,16,1
2252,13,2,2,14,1
2253,11,4,3,30,1
2255,18,4,4,20,1
2256,11,4,7,13,1
2257,23,2,6,13,1
2260,7,6,9,16,1
2262,20,5,5,19,1
2264,15,2,11,28,1
2265,0,7,2,5,1
2266,21,3,6,14,1
2267,6,2,8,15,1
2268,15,4,9,7,1
2269,18,1,10,30,1
2278,12,7,4,16,1
2290,23,3,11,8,1
2294,3,7,11,5,1
2298,13,1,1,9,1
2299,11,3,2,1,1
2300,13,3,6,14,1
2302,6,5,7,28,1
2303,11,7,9,3,1
2304,16,4,10,5,1
2316,0,7,1,15,1
2317,13,2,1,10,1
2319,13,1,2,27,1
2320,15,6,6,10,1
2323,15,6,5,27,1
2324,12,2,7,25,1
2325,21,5,7,28,1
2326,22,1,7,31,1
2327,14,2,8,8,1
2328,21,1,8,14,1
2329,14,6,7,29,1
2330,16,5,7,21,1
2331,6,5,9,8,1
2336,6,6,9,30,1
2337,10,6,10,7,1
2338,10,6,11,4,1
2339,14,3,11,8,1
2340,21,6,12,2,1
2374,20,1,3,6,1
2375,23,7,4,2,1
2376,0,7,5,14,1
2377,15,6,8,12,1
2378,16,4,5,18,1
2379,19,1,9,25,1
2381,5,1,10,9,1
2382,19,6,10,7,1
2384,17,6,10,7,1
2387,7,2,1,10,1
2388,8,7,2,12,1
2390,9,1,3,6,1
2391,11,7,4,16,1
2392,23,7,4,23,1
2393,19,4,5,11,1
2394,3,7,4,16,1
2395,12,3,6,28,1
2396,16,1,6,19,1
2397,16,5,7,14,1
2398,23,7,7,2,1
2399,17,2,8,29,1
2400,0,4,10,5,1
2401,21,2,10,17,1
2402,17,2,11,28,1
2403,0,7,11,26,1
2406,15,4,12,7,1
