,acchr,dayofweek
0,8,4
1,17,1
2,15,7
3,22,4
4,17,1
5,7,2
6,17,1
7,12,2
8,11,3
9,18,7
10,1,4
11,18,3
12,10,4
13,7,6
14,10,7
15,6,2
16,8,2
17,9,1
18,0,4
19,10,7
20,16,2
21,11,4
22,7,5
23,18,3
24,18,3
25,13,7
26,14,6
27,17,2
28,17,2
29,17,7
30,9,7
31,22,1
32,16,2
33,0,4
34,12,7
35,11,6
36,17,7
37,20,2
38,12,7
39,14,7
40,12,4
41,16,5
42,12,2
43,12,2
44,9,6
45,10,4
46,8,2
47,7,4
48,1,7
49,22,4
50,11,3
51,20,4
52,16,4
53,18,4
54,16,6
55,23,6
56,17,3
57,13,6
58,13,6
59,0,2
60,17,2
61,13,2
62,1,4
63,99,4
64,5,3
65,7,2
66,23,6
67,19,2
68,22,1
69,20,6
70,19,7
71,12,1
72,17,3
73,9,7
74,9,2
75,4,5
76,17,6
77,11,4
78,0,1
79,18,7
80,17,3
81,21,5
82,12,4
83,22,6
84,22,6
85,16,3
86,9,5
87,21,5
88,10,6
89,10,6
90,10,6
91,20,6
92,7,2
93,8,6
94,7,4
95,15,6
96,23,7
97,19,7
98,12,1
99,1,7
100,9,3
101,9,1
102,17,5
103,3,3
104,8,3
105,12,2
106,18,3
107,18,7
108,18,6
109,15,3
110,21,5
111,9,6
112,19,5
113,14,7
114,10,2
115,99,3
116,18,4
117,6,3
118,13,4
119,22,5
120,7,4
121,19,7
122,10,1
123,17,4
124,7,3
125,16,4
126,12,6
127,19,7
128,10,3
129,6,6
130,6,6
131,9,4
132,1,4
133,18,4
134,9,1
135,7,4
136,14,4
137,21,4
138,15,6
139,4,6
140,12,1
141,21,5
142,18,7
143,20,5
144,1,1
145,14,3
146,11,4
147,21,5
148,11,6
149,14,6
150,23,3
151,18,7
152,9,3
153,9,3
154,6,5
155,6,5
156,12,2
157,13,5
158,16,7
159,9,7
160,16,2
161,11,5
162,15,3
163,9,6
164,18,1
165,10,7
166,15,7
167,4,5
168,9,5
169,15,1
170,8,7
171,15,6
172,6,6
173,10,3
174,10,3
175,2,4
176,7,4
177,13,6
178,16,1
179,20,6
180,20,6
181,19,3
182,6,4
183,15,3
184,15,4
185,10,4
186,13,4
187,7,1
188,8,4
189,9,5
190,19,7
191,12,6
192,6,5
193,5,3
194,8,4
195,11,4
196,0,2
197,0,1
198,16,2
199,19,2
200,19,2
201,23,3
202,17,4
203,6,5
204,17,6
205,7,7
206,12,7
207,8,4
208,4,6
209,15,2
210,16,2
211,23,3
212,10,6
213,10,5
214,9,1
215,18,2
216,21,2
217,11,3
218,19,1
219,20,7
220,12,4
221,5,7
222,18,7
223,22,3
224,4,1
225,12,7
226,19,3
227,14,3
228,18,3
229,14,5
230,18,5
231,5,6
232,8,5
233,2,5
234,15,5
235,21,6
236,14,3
237,23,6
238,12,7
239,0,7
240,12,2
241,14,4
242,18,5
243,7,6
244,9,2
245,20,5
246,7,1
247,17,3
248,10,6
249,7,4
250,11,5
251,3,6
252,6,6
253,9,6
254,13,6
255,21,7
256,7,4
257,14,4
258,21,1
259,5,5
260,9,5
261,8,2
262,13,2
263,11,1
264,9,4
265,13,5
266,14,4
267,18,1
268,15,3
269,2,6
270,7,3
271,4,5
272,10,1
273,10,1
274,9,2
275,20,2
276,8,4
277,7,4
278,11,4
279,12,3
280,17,3
281,2,3
282,23,4
283,15,5
284,15,5
285,11,3
286,18,3
287,13,2
288,10,4
289,11,2
290,1,3
291,22,5
292,23,1
293,20,2
294,11,4
295,3,7
296,23,7
297,5,2
298,22,5
299,5,7
300,9,2
301,9,4
302,11,2
303,13,6
304,14,3
305,10,4
306,21,4
307,9,2
308,23,4
309,5,6
310,3,3
311,16,3
312,17,1
313,0,6
314,6,5
315,4,4
316,11,2
317,14,4
318,0,5
319,17,6
320,6,7
321,19,1
322,9,4
323,14,1
324,15,7
325,18,1
326,9,2
327,12,3
328,18,4
329,12,3
330,11,5
331,11,5
332,5,2
333,4,1
334,13,3
335,13,1
336,21,3
337,14,3
338,0,4
339,17,6
340,16,6
341,17,2
342,14,3
343,21,1
344,23,2
345,23,4
346,2,7
347,12,1
348,8,6
349,4,3
350,20,7
351,20,7
352,15,1
353,5,5
354,13,4
355,19,3
356,2,2
357,15,2
358,11,4
359,7,2
360,9,1
361,12,4
362,19,1
363,21,2
364,15,7
365,10,7
366,7,5
367,15,4
368,5,5
369,22,5
370,12,2
371,16,2
372,21,6
